Target Distance: 100, Step Size: 20
42: (x, y) = (-12.496, -46.148)
43: (x, y) = (-14.5866, -66.0385)
44: (x, y) = (-11.1136, -46.3423)
45: (x, y) = (-30.2397, -52.1897)
46: (x, y) = (-35.4161, -71.5082)
47: (x, y) = (-39.9151, -90.9957)
48: (x, y) = (-22.095, -100.075)
After 48 steps, the subject has the following location:
(x, y) = (-22.095, -100.075)
 or
(m,a) = (102.486, -102.45)
Average outward distance per step = 2.13512
Target Distance: 100, Step Size: 20
0: (x, y) = (0, 0)
1: (x, y) = (16.5808, 11.1839)
2: (x, y) = (34.5566, 19.9513)
3: (x, y) = (21.9702, 35.4942)
4: (x, y) = (2.65171, 40.6706)
5: (x, y) = (0.561139, 20.7801)
6: (x, y) = (10.5611, 38.1007)
7: (x, y) = (-6.58221, 27.7999)
8: (x, y) = (-24.0746, 37.4961)
9: (x, y) = (-14.3784, 54.9885)
10: (x, y) = (5.61854, 54.6394)
11: (x, y) = (-8.76825, 40.7463)
12: (x, y) = (11.183, 42.1414)
13: (x, y) = (14.656, 22.4452)
14: (x, y) = (2.90029, 6.2649)
15: (x, y) = (22.0264, 0.417461)
16: (x, y) = (31.7226, -17.0749)
17: (x, y) = (50.9478, -22.5877)
18: (x, y) = (51.6458, -2.59986)
19: (x, y) = (69.3048, -11.9893)
20: (x, y) = (72.4334, 7.76447)
21: (x, y) = (91.3438, 14.2758)
22: (x, y) = (99.7962, -3.85032)
23: (x, y) = (79.9453, -6.28771)
24: (x, y) = (65.3182, -19.9277)
25: (x, y) = (83.7283, -27.7423)
26: (x, y) = (89.241, -46.9675)
After 26 steps, the subject has the following location:
(x, y) = (89.241, -46.9675)
 or
(m,a) = (100.846, -27.7578)
Average outward distance per step = 3.87869
Target Distance: 100, Step Size: 20
0: (x, y) = (0, 0)
1: (x, y) = (15.7602, 12.3132)
2: (x, y) = (2.3776, 27.1761)
3: (x, y) = (20.5038, 18.7238)
4: (x, y) = (11.4239, 0.90363)
5: (x, y) = (29.3998, -7.86379)
6: (x, y) = (48.1937, -14.7042)
7: (x, y) = (32.0133, -2.94849)
8: (x, y) = (13.6032, -10.7631)
9: (x, y) = (32.7293, -16.6105)
10: (x, y) = (13.819, -10.0992)
11: (x, y) = (9.31995, -29.5866)
12: (x, y) = (21.3562, -45.5593)
13: (x, y) = (36.6771, -58.415)
14: (x, y) = (34.2398, -38.5641)
15: (x, y) = (14.9212, -43.7405)
16: (x, y) = (21.4326, -24.8301)
17: (x, y) = (40.7511, -30.0065)
18: (x, y) = (24.5708, -41.7622)
19: (x, y) = (35.4636, -58.5356)
20: (x, y) = (30.9645, -78.023)
21: (x, y) = (11.1592, -80.8065)
22: (x, y) = (28.1201, -91.4049)
23: (x, y) = (42.7472, -105.045)
After 23 steps, the subject has the following location:
(x, y) = (42.7472, -105.045)
 or
(m,a) = (113.41, -67.8565)
Average outward distance per step = 4.93085
Target Distance: 100, Step Size: 20
0: (x, y) = (0, 0)
1: (x, y) = (-8.76742, -17.9759)
2: (x, y) = (-28.6913, -19.719)
3: (x, y) = (-31.1287, -39.5699)
4: (x, y) = (-36.6415, -58.7952)
5: (x, y) = (-56.1289, -63.2942)
6: (x, y) = (-73.2722, -52.9934)
7: (x, y) = (-89.4525, -41.2377)
8: (x, y) = (-74.8255, -27.5977)
9: (x, y) = (-70.6672, -47.1607)
10: (x, y) = (-90.421, -44.032)
After 10 steps, the subject has the following location:
(x, y) = (-90.421, -44.032)
 or
(m,a) = (100.572, -154.035)
Average outward distance per step = 10.0572
Target Distance: 100, Step Size: 20
0: (x, y) = (0, 0)
1: (x, y) = (-9.07981, -17.8201)
2: (x, y) = (-29.0768, -18.1692)
3: (x, y) = (-32.8929, 1.46337)
4: (x, y) = (-32.5439, -18.5336)
5: (x, y) = (-26.0325, -37.444)
6: (x, y) = (-39.9257, -23.0572)
7: (x, y) = (-59.7311, -20.2737)
8: (x, y) = (-41.1874, -12.7816)
9: (x, y) = (-61.1843, -12.4325)
10: (x, y) = (-63.6217, -32.2834)
11: (x, y) = (-83.3179, -28.8105)
12: (x, y) = (-63.9994, -33.9869)
13: (x, y) = (-59.5003, -53.4743)
14: (x, y) = (-54.6619, -72.8802)
15: (x, y) = (-37.7009, -62.2818)
16: (x, y) = (-32.8625, -42.8759)
17: (x, y) = (-52.6163, -46.0046)
18: (x, y) = (-36.2332, -57.4761)
19: (x, y) = (-22.3401, -71.8629)
20: (x, y) = (-29.1805, -90.6567)
21: (x, y) = (-43.8075, -104.297)
After 21 steps, the subject has the following location:
(x, y) = (-43.8075, -104.297)
 or
(m,a) = (113.123, -112.784)
Average outward distance per step = 5.38683
Target Distance: 100, Step Size: 20
0: (x, y) = (0, 0)
1: (x, y) = (-17.3205, 10)
2: (x, y) = (-35.4467, 18.4524)
3: (x, y) = (-35.7957, 38.4493)
4: (x, y) = (-45.4919, 55.9417)
5: (x, y) = (-38.6515, 37.1479)
6: (x, y) = (-20.3806, 29.0131)
7: (x, y) = (-25.557, 48.3316)
8: (x, y) = (-13.2437, 64.0919)
9: (x, y) = (-24.7153, 47.7088)
10: (x, y) = (-12.679, 31.7361)
11: (x, y) = (7.07479, 28.6074)
12: (x, y) = (-12.8491, 30.3505)
13: (x, y) = (3.53394, 18.879)
14: (x, y) = (-8.50236, 34.8517)
15: (x, y) = (-25.2758, 45.7445)
16: (x, y) = (-45.2727, 46.0935)
17: (x, y) = (-30.8859, 32.2004)
18: (x, y) = (-11.323, 28.0421)
19: (x, y) = (8.30957, 24.226)
20: (x, y) = (-6.78462, 37.3471)
21: (x, y) = (-17.383, 54.3081)
22: (x, y) = (-12.2066, 73.6266)
23: (x, y) = (-1.02277, 90.2074)
24: (x, y) = (-10.1026, 72.3872)
25: (x, y) = (-29.1237, 66.2069)
26: (x, y) = (-49.1237, 66.2069)
27: (x, y) = (-63.0169, 51.8201)
28: (x, y) = (-76.6568, 37.193)
29: (x, y) = (-63.8011, 52.5139)
30: (x, y) = (-67.6173, 72.1465)
31: (x, y) = (-75.4319, 53.7364)
32: (x, y) = (-66.3521, 71.5565)
33: (x, y) = (-61.8531, 52.0691)
34: (x, y) = (-53.4007, 33.9429)
35: (x, y) = (-38.5378, 47.3256)
36: (x, y) = (-43.0368, 27.8382)
37: (x, y) = (-24.9107, 19.3858)
38: (x, y) = (-4.95939, 20.7809)
39: (x, y) = (14.0617, 14.6006)
40: (x, y) = (8.21431, 33.7267)
41: (x, y) = (27.9681, 36.8554)
42: (x, y) = (9.84192, 45.3077)
43: (x, y) = (28.968, 51.1552)
44: (x, y) = (40.1519, 67.7359)
45: (x, y) = (53.5345, 52.873)
46: (x, y) = (37.5618, 64.9093)
47: (x, y) = (57.2579, 68.3823)
48: (x, y) = (40.4845, 79.2751)
49: (x, y) = (27.6288, 94.5959)
50: (x, y) = (12.3079, 107.452)
After 50 steps, the subject has the following location:
(x, y) = (12.3079, 107.452)
 or
(m,a) = (108.154, 83.4656)
Average outward distance per step = 2.16309
